config_file,model_file,time_period,test_period,label,total_samples,positive_samples,negative_samples,accuracy,precision,recall,f1_score,auc,specificity,true_positives,false_positives,true_negatives,false_negatives
I5R5_09-11.yml,I5R5_OHLCV_09-11.tar,20091231-20111231,20111231-20121231,RET5,750,445,305,0.5786666666666667,0.6262230919765166,0.7191011235955056,0.6694560669456067,0.5493092650580218,0.3737704918032787,320,191,114,125
I5R5_10-12.yml,I5R5_OHLCV_10-12.tar,20101231-20121231,20121231-20131231,RET5,759,495,264,0.530961791831357,0.665083135391924,0.5656565656565656,0.611353711790393,0.5101469237832874,0.4659090909090909,280,141,123,215
I5R5_11-13.yml,I5R5_OHLCV_11-13.tar,20111231-20131231,20131231-20141231,RET5,759,447,312,0.5085638998682477,0.5717054263565892,0.6599552572706935,0.612668743509865,0.4540239775139104,0.2916666666666667,295,221,91,152
I5R5_12-14.yml,I5R5_OHLCV_12-14.tar,20121231-20141231,20141231-20151231,RET5,759,417,342,0.48221343873517786,0.5225563909774437,0.6666666666666666,0.5858798735511064,0.46691068198073116,0.2573099415204678,278,254,88,139
I5R5_13-15.yml,I5R5_OHLCV_13-15.tar,20131231-20151231,20151231-20161231,RET5,759,455,304,0.49538866930171277,0.5909090909090909,0.5142857142857142,0.5499412455934195,0.4904424522845576,0.46710526315789475,234,162,142,221
I5R5_14-16.yml,I5R5_OHLCV_14-16.tar,20141231-20161231,20161231-20171231,RET5,753,504,249,0.5604249667994687,0.6901098901098901,0.623015873015873,0.6548488008342023,0.5439535921463632,0.43373493975903615,314,141,108,190
I5R5_15-17.yml,I5R5_OHLCV_15-17.tar,20151231-20171231,20171231-20181231,RET5,753,416,337,0.4953519256308101,0.5299003322259136,0.7668269230769231,0.6267190569744597,0.4924888724035608,0.16023738872403562,319,283,54,97
I5R5_16-18.yml,I5R5_OHLCV_16-18.tar,20161231-20181231,20181231-20191231,RET5,756,502,254,0.5277777777777778,0.6545842217484008,0.6115537848605578,0.6323377960865088,0.4811933368886658,0.36220472440944884,307,162,92,195
I5R5_17-19.yml,I5R5_OHLCV_17-19.tar,20171231-20191231,20151231-20171231,RET5,1512,959,553,0.5403439153439153,0.6242937853107344,0.6913451511991658,0.6561108362196932,0.4516505853935402,0.27848101265822783,663,399,154,296
I5R5_18-20.yml,I5R5_OHLCV_18-20.tar,20181231-20201231,20161231-20181231,RET5,1506,920,586,0.5391766268260292,0.6230936819172114,0.6217391304347826,0.6224156692056583,0.5214868674877579,0.40955631399317405,572,346,240,348
